amount,hour,failed_attempts,device_count,recent_transaction_count,has_2fa,is_weekend,transaction_type_upi,transaction_type_imps,transaction_type_neft,location_change,vpn_usage,new_device,session_duration,recipient_changes,merchant_trust_score,user_tenure_days,previous_fraud,velocity_spike,is_fraud
36196.371320026,9,1,3,5,1,1,0,0,0,0,1,0,223.33743640485102,3,0.946431121570759,45.26474243556868,0,0,0
19182.155001562143,23,1,1,4,1,1,0,0,0,0,0,0,322.9159997259094,0,0.6731750624544914,142.86091455613771,0,0,0
42095.18060178361,16,0,3,3,1,0,0,0,0,0,1,0,311.73740300371315,2,0.9011526364313763,535.4910244253441,0,0,0
101015.56131770952,20,1,0,3,1,1,1,0,0,0,0,0,1081.1065127522859,1,0.9757768780085974,211.19644173109424,0,0,1
17428.230714076562,1,0,3,3,1,0,1,0,1,0,0,1,31.04526292654525,1,0.17838649593120293,25.763255737277177,0,1,0
17428.516849181196,5,1,0,4,1,0,1,0,0,0,0,0,392.9394706611081,3,0.6244724876103563,475.49298451131784,0,0,0
106853.37167931243,4,1,2,1,1,1,1,1,0,0,0,0,201.83522591740174,1,0.6061055866443321,217.9328797609862,0,1,0
47450.1387969019,3,0,3,6,1,0,1,1,0,0,0,0,540.3304200543861,0,0.4628450911899405,27.9471057100349,0,0,0
13773.828899889326,1,0,2,4,1,0,1,1,1,1,0,0,528.7362206306552,0,0.6951059956783312,1111.9553050471457,0,0,1
37894.45383617891,11,0,3,1,1,0,0,0,0,0,0,0,707.4118341105851,0,0.961181296422798,163.05557501754168,1,0,0
13857.505901821502,2,0,2,2,1,0,1,1,0,1,0,0,738.9072094622213,1,0.8518700952141872,210.42449641086537,0,0,1
13825.503516211034,5,0,0,6,0,1,1,0,0,0,0,0,64.85107945791628,1,0.4892640852394093,46.578394107991215,0,0,0
28056.12568403587,23,1,1,2,0,0,0,0,1,0,0,0,52.3947454508471,0,0.8265248448037171,346.2275981384882,0,0,0
